company,sub_industry,type_company,location,url_page_details
3D-Concept-Analysis-&-Development-India-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560040
",https://www.fundoodata.com/companies-detail/3D-Concept-Analysis-&-Development-India-Pvt-Ltd/67197.html?&pageno=30
3D-PLM-Software-Solutions-Ltd," IT Software , QA -Testing
"," Industry Top
"," Pune / Maharashtra 
	- 411057
",https://www.fundoodata.com/companies-detail/3D-PLM-Software-Solutions-Ltd/146663.html?&pageno=31
3Di-Systems-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Navi Mumbai / Maharashtra 
	- 400701
",https://www.fundoodata.com/companies-detail/3Di-Systems-Solutions-Pvt-Ltd/46384.html?&pageno=32
3E-IT-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Thiruvananthapuram / Kerala 
	- 695581
",https://www.fundoodata.com/companies-detail/3E-IT-Solutions-Pvt-Ltd/108041.html?&pageno=33
3Edge-Solutions," Training Institutes, IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600097
",https://www.fundoodata.com/companies-detail/3Edge-Solutions/79647.html?&pageno=34
3Five8-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560037
",https://www.fundoodata.com/companies-detail/3Five8-Technologies-Pvt-Ltd/131993.html?&pageno=35
3forz-Innovations-Software-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560008
",https://www.fundoodata.com/companies-detail/3forz-Innovations-Software-Pvt-Ltd/117436.html?&pageno=36
3i-Infotech-Ltd," IT Software , QA -Testing
"," Industry Top
"," Mumbai / Maharashtra 
	- 400703
",https://www.fundoodata.com/companies-detail/3i-Infotech-Ltd/46740.html?&pageno=37
3J-International," IT Software , QA -Testing
"," SMEs
"," Ghaziabad / Uttar Pradesh 
	- 201014
",https://www.fundoodata.com/companies-detail/3J-International/142502.html?&pageno=38
3leads-Resources-India-Pvt-Ltd," IT- Consulting
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560034
",https://www.fundoodata.com/companies-detail/3leads-Resources-India-Pvt-Ltd/113928.html?&pageno=39
3Pillar-Global-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Noida / Uttar Pradesh 
	- 201301
",https://www.fundoodata.com/companies-detail/3Pillar-Global-Pvt-Ltd/34991.html?&pageno=40
3RI-Technologies-Pvt-Ltd," IT Software , QA -Testing, IT- Hardware
"," SMEs
"," Pune / Maharashtra 
	- 411027
",https://www.fundoodata.com/companies-detail/3RI-Technologies-Pvt-Ltd/152292.html?&pageno=41
3S-Info-Solutions," IT Software , QA -Testing
"," SMEs
"," Bhubaneswar / Orissa 
	- 751010
",https://www.fundoodata.com/companies-detail/3S-Info-Solutions/117217.html?&pageno=42
3S-Studio-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110019
",https://www.fundoodata.com/companies-detail/3S-Studio-Pvt-Ltd/147050.html?&pageno=43
,,,,
3S-Technologies-&-Automation-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560076
",https://www.fundoodata.com/companies-detail/3S-Technologies-&-Automation-Pvt-Ltd/62053.html?&pageno=44
4-Genius-Minds," IT- Hardware
"," Industry Top
"," New Delhi / Delhi 
	- 110019
",https://www.fundoodata.com/companies-detail/4-Genius-Minds/125057.html?&pageno=45
4-Quadrant-Solutions-Pvt-Ltd," IT- ERP , CRM
"," SMEs
"," Mumbai / Maharashtra 
	- 400078
",https://www.fundoodata.com/companies-detail/4-Quadrant-Solutions-Pvt-Ltd/78442.html?&pageno=46
