company,address,location_phones,web_company
3Five8 Technologies Pvt Ltd,"  Address - 3Five8 Technologies Pvt. Ltd., No. 620, Ground Floor C Block, AECS Layout Kundalahalli				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 9223311999",3five8.com,
3forz Innovations Software Pvt Ltd,"  Address - Incubator 1, Level 2, GINSERV  CA Site No.1, HAL				  				  3rd Stage  Behind Hotel Leela Palace  Kodihalli","				        Bangalore / Bengaluru	                Karnataka , 560008	 (080) 40913789",www.3forz.com
3i Infotech Ltd,"  Address - Tower 5, 3rd to 6th Floors				  				  International Infotech Park, Vashi","				        Mumbai	                Maharashtra , 400703	 (022) 67928405  67928799",www.3i-infotech.com
3J International,"  Address - GF-56, Vardaan-19, Abhay Khand-3, Indirapuram				        Ghaziabad	                Uttar Pradesh , 201014	 (0120) 8750349888",www.3jitech.com,
3leads Resources India Pvt Ltd,"  Address - 1010, 3rd Floor, 7th A Main, 1st block				  				  Kormangala, Near Wipro Park","				        Bangalore / Bengaluru	                Karnataka , 560034	 (080) 41603968",www.3leads.com
3Pillar Global Pvt Ltd,"  Address - Infospace B2,Tower -1,				  				  2nd Floor,Sec-62","				        Noida	                Uttar Pradesh , 201301	 (0120) 4689200",www.3pillarglobal.com
3RI Technologies Pvt Ltd,"  Address - 405 & 403 4th Floor, Above				  				  Macdonald, Rainbow Plaza, Pimple Saudagar,","				        Pune	                Maharashtra , 411027	 (020) 8308103366  9623868215",www.3ritechnologies.com
3S Info Solutions,"  Address - 1478, Satya Vihar,				  				  Palasun","				        Bhubaneswar	                Orissa , 751010	 (0674) 8763362768",www.3sinfosolutions.in
3S Studio Pvt Ltd,"  Address - G-26, LGF, Kalkaji				        New Delhi	                Delhi , 110019	 (011) 65650930",www.3sstudio.in,
3S Technologies & Automation Pvt Ltd,"  Address - 2, 100 Feet Ring Road,BTM 2nd Stage				        Bangalore / Bengaluru	                Karnataka , 560076	 (080) 26682969 26688609",www.3stec.co.in,
4 Genius Minds,"  Address - K 1/17 C.R. Park, Ground Floor				  				  Greater Kailash 2","				        New Delhi	                Delhi , 110019	 (011) 46566940",www.4geniusminds.com
4 Quadrant Solutions Pvt Ltd,"  Address - 201,RR Reality Complex				  				  Bhandup (WEST)","				        Mumbai	                Maharashtra , 400078	 (022) 65240101  64568333",4qs.in
42Gears Mobility Systems Pvt Ltd,"  Address - Agara Village, Sector 1, HSR Layout				        Bangalore / Bengaluru	                Karnataka , 560102	 (080) 42283100",www.42gears.com,
4C-Learning Solutions Pvt Ltd,"  Address - 26, 1st Cross, Pavithra Paradise Sai Enclave				  				  Adjacent to M.S.Ramaiah City Arekere Mico Layout Off Bannerghatta Main Road","				        Bangalore / Bengaluru	                Karnataka , 560076	 (080) 40934730",www.4c-learning.com
4G Identity Solutions Pvt Ltd,"  Address - Plot No.: 330 & 331 Road No. 79, Jubilee Hills				        Hyderabad	                Telangana , 500034	 (040) 23558789  32913939",www.4gid.com,
4i Apps Solutions Pvt Ltd,"  Address - 1-1-1 Block A, First Floor, Tecci Park No: 285,				  				  Rajiv Gandhi Salai (OMR) Sholinganallur","				        Chennai	                Tamil Nadu , 600119	 (044) 66380000",www.4iapps.com
4M Technosol Pvt Ltd,"  Address - 19, Apna Bazaar Commercial Complex, Nehru Nagar				        New Delhi	                Delhi , 110065	 (011) 9643300827",hanzo.in,
4th Quarter Technologies,"  Address - B-82, Sector 60				        Noida	                Uttar Pradesh , 201301	 (0120) 9971152489",www.4qt.com,
5 Elements,"  Address - B-277,				  				  Street 4, Smriti Nagar,","				        Durg	                Chattisgarh , 490022	 (0788) 4030671",www.5elements.org.in
5Cube eCommerce Web Solutions Pvt Ltd,"  Address - 145, Bosepukur Rd, Purba Para,				  				  Bosepukur, Kasba,","				        Kolkata	                West Bengal , 700042	 (033) 24416390  9748001647",www.5cubecommerce.com
5M Consultants,"  Address - 14/1,1st floor, Near 28th cross,				  				  2nd Main road Jayanagar 7th block","				        Bangalore / Bengaluru	                Karnataka , 560082	 (080) 26648860",www.5mconsultants.com
6 Degrees IT Pvt Ltd,"  Address - 9/2 ManoramaGanj, Street No 5				        Indore	                Madhya Pradesh , 452001	 (0731) 4239613",www.6degreesit.com,
63 Moons Technologies Ltd ( FTIL ),"  Address - FT Tower CTS No. 256 & 257 Suren Road, Chakala				  				  Andheri (East)","				        Mumbai	                Maharashtra , 400093	 (022) 66868013  66861010",www.63moons.com
6d Telecom Solutions Pvt Ltd,"  Address - Level 16, Building No. 5B,				  				  Cyber Terraces DLF City Phase III","				        Gurgaon/Gurugram	                Haryana , 122002	 (0124) 9560183312",www.6dtech.co.in
6zene Technologies Pvt Ltd,"  Address - Sector 18, Electronic City				        Gurgaon/Gurugram	                Haryana , 122015	 (0124) 7838130066   9911195593",www.getzene.com,
72interactive,"  Address - D 7, Vivek Vihar, Phase II				        New Delhi	                Delhi , 110095	 (011) 9811122212",www.72interactive.in,
75way Technologies Pvt Ltd,"  Address - Floor-1, F-155, Phase 8-B,				        Mohali	                Chandigarh , 140603	 (0172) 8699759669",www.75way.com,
76 DE Technologies Pvt. Ltd,"  Address - First floor, Geon Air, Geo Infopark, Kakkanad				        Kochi	                Kerala , 682030	 (0484) 6555110",www.76degrees.io,
7Eleven Arthashastra Technology Pvt Ltd,"  Address - 4, Rathinam Street, Thiruvanmiyur,				        Chennai	                Tamil Nadu , 600041	 (044) 9962455047",www.7eleventech.com,
7i Systems Pvt Ltd,"  Address - 456 - Bhopalpura, Behind Moksh Marg,				        Udaipur	                Rajasthan , 313001	 (0294) 7737703777",www.7isys.com,
7N Consulting Pvt Ltd,"  Address - Plot No. 81, 3rd Floor, Sector 44				        Gurgaon/Gurugram	                Haryana , 122003	 (0124) 4647777",www.7n.com,
7Seas Entertainment Ltd,"  Address - 6-3-1239/2/A, 3rd Floor,Kotis court, Raj Bhavan Road,				  				  Somajiguda","				        Hyderabad	                Telangana , 500082	 (040) 49533636",www.7seasent.com
7techies,  Address - C9/8 Sector-7				  				  Rohini,"				        New Delhi	                Delhi , 110085	 (011) 42475633",
8 Webcom Pvt Ltd,"  Address - G-607, Titanium City Center, 100 feet Road				  				  Near Sachin Tower, Satellite","				        Ahmedabad	                Gujarat , 380015	 (079) 40099909  9824023066",www.8webcom.com
